Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Darkweave Spinner,1,Standard,A boar-sized arachnid woven from primordial shadow-silk.,"Bite, stick to the darkness",12,6/9,4,3,+1,Fangs,Melee,1d8+1 phy,"Holes +2, Webs +2",Wrap in Shadow-Silk,"Mark a Stress to make an attack against a target within Melee range. On a success, the target is Vulnerable and Restrained until they succeed on a Strength Roll (10).",Shadow Fang,"When the Spinner makes a successful attack against a target within Melee range, you can spend a Fear to make the target Shaky until they succeed on an Instinct Roll (10). While Shaky, the target has disadvantage on attack rolls. DARKWEAVE SWARMLINGS Tier  Horde (/HP) A teeming swarm of tiny spiders woven out of shadow-silk. Motives & Tactics: Burst out of holes, climb up legs, crawl into ears, scuttle under clothes Diffi culty: 9 | Thresholds: 4/8 | HP: 8 | Stress: 4 ATK: +0 | Nibble: Melee | 1d8 phy Experience: Climb +2 FEATURES",Horde (1d4),"When the Swarmlings have marked half or more of their HP, their standard attack deals 1d4 physical damage instead.","“Get ’em Off , Get ’em Off !”","When an attack from the Swarmlings causes a target to mark HP, you can mark a Stress to make the target temporarily Covered in Spiders. While Covered in Spiders, the target must roll a d6 when they make an action roll. On a result of 4 or higher, they must mark a Stress or you gain a Fear.",,,,,,
Deeproot Defender,1,Bruiser,A burly vegetable-person with grasping vines.,"Ambush, grab, protect, pummel",10,8/14,7,3,+2,Vines,Close,1d8+3 phy,Huge +3,Ground Slam,"Slam the ground, knocking all targets within Very Close range back to Far range. Each target knocked back this way must mark a Stress.",Grab and Drag,"Make an attack against a target within Close range. On a success, spend a Fear to pull them into Melee range, deal 1d6+2 physical damage, and Restrain them until the Defender takes Severe damage. Daggerheart SRD 99",,,,,,,,,,
Dire Wolf,1,Skulk,"A large wolf with menacing teeth, seldom encountered alone.","Defend territory, harry, protect pack,",12,5/9,4,3,+2,Claws,Melee,1d6+2 phy,Keen Senses +3,Pack Tactics,"If the Wolf makes a successful standard attack and another Dire Wolf is within Melee range of the target, deal 1d6+5 physical damage instead of their standard damage and you gain a Fear.",Hobbling Strike,"Mark a Stress to make an attack against a target within Melee range. On a success, deal 3d4+10 direct physical damage and make them Vulnerable until they clear at least 1 HP.",,,,,,,,,,
Elk,1,Skulk,A large deer.,"Bound away, graze, rut, sense danger",13,4/8,3,2,+0,Antlers,Melee,1d8+1 phy,"Keen Senses +3, Run +3",Headbutt,"When the Elk moves from Close range or farther before making a standard attack, it deals 1d12+2 physical damage instead of its standard damage.",Bolt,"When the Elk marks a HP or Stress, it must succeed on a Reaction Roll (10) or fl ee the scene.",,,,,,,,,,
Falcon,1,Skulk,"A bird of prey that has long, pointed wings and a notched beak.","Circle, clutch, dive, spy",12,5/8,3,3,+2,Talons,Melee,1d6+1 phy,"Keen Senses +4, Fly +3",Nimble Flyer,"While fl ying, the Falcon gains a +3 bonus to its Diffi culty.",Dive Bomb,Mark a Stress to make a standard attack against a target from above. The Falcon gains a +2 bonus to the attack and damage rolls. 100 Daggerheart SRD,,,,,,,,,,
Giant Rat,1,Minion,A cat-sized rodent skilled at scavenging and survival.,"Burrow, hunger, scavenge, wear down",10,None,1,1,−4,Claws,Melee,1 phy,Keen Senses +3,Minion (3),"The Rat is defeated when they take any damage. For every 3 damage a PC deals to the Rat, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Giant Rats within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 1 physical damage each. Combine this damage.",,,,,,,,,,
Giant Scorpion,1,Bruiser,A human-sized arachnid with tearing claws and a stinging tail.,"Ambush, feed, grapple, poison",13,7/13,6,3,+1,Pincers,Melee,1d12+2 phy,Camoufl age +2,Double Strike,Mark a Stress to make a standard attack against two targets within Melee range.,Venomous Stinger,"Make an attack against a target within Very Close range. On a success, spend a Fear to deal 1d4+4 physical damage and Poison them until their next rest or they succeed on a Knowledge Roll (16). While Poisoned, the target must roll a d6 before they make an action roll. On a result of 4 or lower, they must mark a Stress.",Momentum,"When the Scorpion makes a successful attack against a PC, you gain a Fear.",,,,,,,,
Glass Snake,1,Standard,A clear serpent with a massive head that leaves behind a glass shard trail wherever they go.,"Climb, feed, keep distance, scare",14,6/10,5,3,+2,Glass Fangs,Very Close,1d8+2 phy,Traps +3,Armor-Shredding Shards,"After a successful attack against the Snake within Melee range, the attacker must mark an Armor Slot. If they can’t mark an Armor Slot, they must mark an HP.",Spinning Serpent,Mark a Stress to make an attack against all targets within Very Close range. Targets the Snake succeeds against take 1d6+1 physical damage.,Spitter,"Spend a Fear to introduce a d6 Spitter Die. When the Snake is in the spotlight, roll this die. On a result of 5 or higher, all targets in front of the Snake within Far range must succeed on an Agility Reaction Roll or take 1d4 physical damage. The Snake can take the spotlight a second time this GM turn. GRIMMLING WARBAND Tier  Horde (/HP) A cluster of small, strange creatures wearing armor fashioned from trash and stolen housewares. Motives & Tactics: Ambush, celebrate a little too early, hit and run, infi ght, sabotage, sow chaos Diffi culty: 12 | Thresholds: 5/11 | HP: 3 | Stress: 2 ATK: +1 | Tailor’s Shears: Melee | 1d8+2 phy Experience: Traps +3 FEATURES",Horde (1d4+1),"When the Warband has marked half or more of its HP, its standard attack deals 1d4+1 physical damage instead.",Cowardly,"When the Warband marks its last Stress or an allied Leader is defeated, roll a d6. On a result of 2 or lower, the Warband fl ees the scene.",,,,
Archer Guard,1,Ranged,A tall guard bearing a longbow and quiver with arrows fl etched in the settlement’s colors.,"Arrest, close gates, make it through the day,",10,4/8,3,2,+1,Longbow,Far,1d8+3 phy,Local Knowledge +3,Hobbling Shot,"Make an attack against a target within Far range. On a success, mark a Stress to deal 1d12+3 physical damage. If the target marks HP from this attack, they have disadvantage on Agility Rolls until they clear at least 1 HP.",,,,,,,,,,,,
Bladed Guard,1,Standard,An armored guard bearing a sword and shield painted in the settlement’s colors.,"Arrest, close gates, make it through the day,",12,5/9,5,2,+1,Longsword,Melee,1d6+1 phy,Local Knowledge +3,Shield Wall,"A creature who tries to move within Very Close range of the Guard must succeed on an Agility Roll. If additional Bladed Guards are standing in a line alongside the fi rst, and each is within Melee range of another guard in the line, the Diffi culty increases by the total number of guards in that line.",Detain,"Make an attack against a target within Very Close range. On a success, mark a Stress to Restrain the target until they break free with a successful attack, Finesse Roll, or Strength Roll.",,,,,,,,,,
Head Guard,1,Leader,"A seasoned guard with a mace, a whistle, and a bellowing voice.","Arrest, close gates, pin down, seek glory",15,7/13,7,3,+4,Mace,Melee,1d10+4 phy,"Commander +2, Local Knowledge +2",Rally Guards,Spend 2 Fear to spotlight the Head Guard and up to 2d4 allies within Far range.,On My Signal,"Countdown (5). When the Head Guard is in the spotlight for the fi rst time, activate the countdown. It ticks down when a PC makes an attack roll. When it triggers, all Archer Guards within Far range make a standard attack with advantage against the nearest target within their range. If any attacks succeed on the same target, combine their damage.",Momentum,"When the Head Guard makes a successful attack against a PC, you gain a Fear. Daggerheart SRD 101",,,,,,,,
Harpy,1,Skulk,A fi erce and foul-smelling bird with an eight-foot wingspan and the upper body and face of a human.,"Defend nest, drop enemies from a great",12,3/7,3,3,+0,Talons,Melee,1d8+1 phy,Islands +3,Toxic Aura,The Harpy emits a foul stench that renders all non-Harpies Vulnerable while within Very Close range.,Swooping Attack,"Mark a Stress to have the Harpy move in a straight line to a point within Far range and make an attack against a target in the Harpy’s path. On a success, the Harpy deals 3d6 physical damage.",,,,,,,,,,
Harrier,1,Standard,A nimble fi ghter armed with javelins.,"Flank, harry, kite, profi t",12,5/9,3,3,+1,Javelin,Close,1d6+2 phy,Camoufl age +2,Maintain Distance,"After making a standard attack, the Harrier can move anywhere within Far range.",Fall Back,"When a creature moves into Melee range to make an attack, you can mark a Stress before the attack roll to move anywhere within Close range and make an attack against that creature. On a success, deal 1d10+2 physical damage.",,,,,,,,,,
Jagged Knife Bandit,1,Standard,A cunning criminal in a cloak bearing one of the gang’s iconic knives.,"Escape, profi t, steal, throw smoke",12,8/14,5,3,+1,Daggers,Melee,1d8+1 phy,Thief +2,Climber,The Bandit climbs just as easily as they run.,From Above,"When the Bandit succeeds on a standard attack from above a target, they deal 1d10+1 physical damage instead of their standard damage. 102 Daggerheart SRD",,,,,,,,,,
Jagged Knife Kneebreaker,1,Bruiser,An imposing brawler carrying a large club.,"Grapple, intimidate, profi t, steal",12,7/14,7,4,−3,Club,Melee,1d4+6 phy,"Thief +2, Unveiled Threats +3",I’ve Got ’Em,Creatures Restrained by the Kneebreaker take double damage from attacks by other adversaries.,Hold Them Down,"Make an attack against a target within Melee range. On a success, the target takes no damage but is Restrained and Vulnerable. The target can break free, clearing both conditions, with a successful Strength Roll or is freed automatically if the Kneebreaker takes Major or greater damage.",,,,,,,,,,
Jagged Knife Lackey,1,Minion,"A thief with simple clothes and small daggers, eager to prove themselves.","Escape, profi t, throw smoke",9,None,1,1,−2,Daggers,Melee,2 phy,Thief +2,Minion (3),"The Lackey is defeated when they take any damage. For every 3 damage a PC deals to the Lackey, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Jagged Knife Lackeys within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.",,,,,,,,,,
Jagged Knife Lieutenant,1,Leader,A seasoned bandit in quality leathers with a strong voice and cunning eyes.,"Bully, command, profi t, reinforce",13,7/14,6,3,+2,Javelin,Close,1d8+3 phy,Local Knowledge +2,Tactician,"When you spotlight the Lieutenant, mark a Stress to also spotlight two allies within Close range.",More Where That Came From,"Summon three Jagged Knife Lackeys, who appear at Far range.",Coup de Grace,"Spend a Fear to make an attack against a Vulnerable target within Close range. On a success, deal 2d6+12 physical damage and the target must mark a Stress.",Momentum,"When the Lieutenant makes a successful attack against a PC, you gain a Fear.",,,,,,
Jagged Knife Shadow,1,Skulk,A nimble scoundrel bearing a wicked knife and utilizing shadow magic to isolate targets.,"Ambush, conceal, divide, profi t",12,4/8,3,3,+1,Daggers,Melee,1d4+4 phy,Intrusion +3,Backstab,"When the Shadow succeeds on a standard attack that has advantage, they deal 1d6+6 physical damage instead of their standard damage.",Cloaked,Become Hidden until after the Shadow’s next attack. Attacks made while Hidden from this feature have advantage.,,,,,,,,,,
Jagged Knife Sniper,1,Ranged,A lanky bandit striking from cover with a shortbow.,"Ambush, hide, profi t, reposition",13,4/7,3,2,−1,Shortbow,Far,1d10+2 phy,Stealth +2,Unseen Strike,"If the Sniper is Hidden when they make a successful standard attack against a target, they deal 1d10+4 physical damage instead of their standard damage.",,,,,,,,,,,,
Kelpie,1,Skulk,A river-dwelling shapeshifter who prefers an enchanting equine form in and out of the water.,"Adopt an attractive or useful shape, drown and",12,4/8,3,5,−2,Hooves,Very Close,1d8+2 phy,"Entanglement +3, Mind Reader +3",Captivating,A PC must mark a Stress to move out of the Kelpie’s Melee range.,Heart’s Desire,"After the Kelpie interacts with or watches a creature for at least a hundred heartbeats, the Kelpie knows the physical form that creature would fi nd most pleasing or alluring.",Shapeshifter,Mark a Stress to change the Kelpie’s physical form into any creature or object smaller than a wagon. A creature has disadvantage on rolls against the Kelpie while the Kelpie is in a form the creature fi nds pleasing or alluring.,Enchant,"Spend a Fear to have the Kelpie beguile a PC within Close range. The PC must succeed on an Instinct Reaction Roll or become Enchanted until they take damage. While Enchanted, the PC perceives the Kelpie as a trusted friend or ally and will do what the Kelpie says unless it contradicts the PC’s most deeply held morals.",,,,,,
Masque Muerte,1,Solo,The raging soul of a villainous masked wrestler.,"Call out, embarrass, energize the audience, pin",13,7/14,8,4,+4,Open-Handed Strike,Melee,1d12+2 mag,"Grappler +3, Showboat +3",Libre,The Masque Muerte can’t be Restrained.,Heel Turn,"Mark a Stress to make an attack against a PC within Close range. On a success, the target must mark a Stress and is temporarily Vulnerable as the Masque Muerte assaults them with a string of insulting taunts.",Spectral Suplex,"Spend a Fear to have the Masque Muerte suplex a Restrained PC, dealing 1d10+6 magic damage to them.",Unmasking Death,"Spend a Fear to have the Masque Muerte momentarily remove their mask, revealing their horrifying face underneath. Each PC within Close range must succeed on a Presence Reaction Roll or mark a Stress.",Tag Team,"When the Masque Muerte deals damage to a PC, you can spend a Fear to have a spectral wrestler appear and Pin the target until they escape with a successful Strength Roll. While Pinned, the target is Restrained and takes an extra 1d12 magic damage from the Masque Muerte’s attacks. Daggerheart SRD 103",,,,
Mechanorb,1,Standard,A fl oating clockwork sphere that has telescoping limbs and comes from a realm of machines and metal.,"Coordinate, (dis)assemble, move orthogonally,",12,5/10,4,3,+1,Needle,Melee,1d10+1 phy,Machines +2,Hive Mind,The Mechanorb gains a +1 bonus to their Diffi culty for each other Mechanorb within Close range.,Adaptive Tactics,"Pool. When the Mechanorb fails an attack roll, add a token to the Mechanorb Pool. All Mechanorbs in the scene gain a bonus to attack rolls equal to the number of tokens in the Mechanorb Pool. Clear all tokens when any Mechanorb takes Severe damage or is defeated. MERCHANT Tier  Social A fi nely dressed trader with a keen eye for fi nancial gain. Motives & Tactics: Buy low and sell high, create demand, infl ate prices, seek profi t Diffi culty: 12 | Thresholds: 4/8 | HP: 3 | Stress: 3 ATK: −4 | Club: Melee | 1d4+1 phy Experience: Shrewd Negotiator +3 FEATURES",Preferential Treatment,A PC who succeeds on a Presence Roll against the Merchant gains a discount on purchases. A PC who fails on a Presence Roll against the Merchant must pay more and has disadvantage on future Presence Rolls against the Merchant.,The Runaround,"When a PC rolls a 14 or lower on a Presence Roll made against the Merchant, they must mark a Stress.",,,,,,
Minor Chaos Elemental,1,Solo,A coruscating mass of uncontrollable magic.,"Confound, destabilize, transmogrify",14,7/14,7,3,+3,Warp Blast,Close,1d12+6 mag,,Arcane Form,The Elemental is resistant to magic damage.,Sickening Flux,Mark a HP to force all targets within Close range to mark a Stress and become Vulnerable until their next rest or they clear a HP.,Remake Reality,Spend a Fear to transform the area within Very Close range into a diff erent biome. All targets within this area take 2d6+3 direct magic damage.,Magical Refl ection,"When the Elemental takes damage from an attack within Close range, deal an amount of damage to the attacker equal to half the damage they dealt.",Momentum,"When the Elemental makes a successful attack against a PC, you gain a Fear. 104 Daggerheart SRD",,,,
Minor Fire Elemental,1,Solo,A living fl ame the size of a large bonfi re.,"Encircle enemies, grow in size, intimidate,",13,7/15,9,3,+3,Elemental Blast,Far,1d10+4 mag,,Relentless (2),The Elemental can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Scorched Earth,Mark a Stress to choose a point within Far range. The ground within Very Close range of that point immediately bursts into fl ames. All creatures within this area must make an Agility Reaction Roll. Targets who fail take 2d8 magic damage from the fl ames. Targets who succeed take half damage.,Explosion,Spend a Fear to erupt in a fi ery explosion. Make an attack against all targets within Close range. Targets the Elemental succeeds against take 1d8 magic damage and are knocked back to Far range.,Consume Kindling,"Three times per scene, when the Elemental moves onto objects that are highly fl ammable, consume them to clear a HP or a Stress.",Momentum,"When the Elemental makes a successful attack against a PC, you gain a Fear.",,,,
Minor Demon,1,Solo,"A crimson-hued creature from the Circles Below, consumed by rage against all mortals.","Act erratically, corral targets, relish pain,",14,8/15,8,4,+3,Claws,Melee,1d8+6 phy,,Relentless (2),The Demon can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,All Must Fall,"When a PC rolls a failure with Fear while within Close range of the Demon, they lose a Hope.",Hellfi re,Spend a Fear to rain down hellfi re within Far range. All targets within the area must make an Agility Reaction Roll. Targets who fail take 1d20+3 magic damage. Targets who succeed take half damage.,Reaper,"Before rolling damage for the Demon’s attack, you can mark a Stress to gain a bonus to the damage roll equal to the Demon’s current number of marked HP.",Momentum,"When the Demon makes a successful attack against a PC, you gain a Fear.",,,,
Minor Treant,1,Minion,An ambulatory sapling rising up to defend their forest.,"Crush, overwhelm, protect",10,None,1,1,−2,Clawed Branch,Melee,4 phy,,Minion (),"The Treant is defeated when they take any damage. For every 5 damage a PC deals to the Treant, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Minor Treants within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 physical damage each. Combine this damage.",,,,,,,,,,
Mountain Troll,1,Solo,A hideous giant born out of a massive rock. They wear purloined armor and a belt of severed heads or skulls.,"Ambush, bellow, hurl large boulders, smash,",14,8/15,8,3,+2,Skull Flail,Very Close,1d8+1 phy,Mountains +4,Relentless (3),The Troll can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Stolen Armor,"Countdown. When combat begins, activate a countdown with a value equal to the number of PCs. When the Troll takes damage, reduce the severity by one threshold, then tick down the countdown. When it triggers, the Troll evolves (see “Enraged Mountain Troll”).",Flail Swipe,"Mark a Stress to make an attack against all targets in front of the Troll within Very Close range. Targets the Troll succeeds against take 2d8+2 physical damage. Enraged Mountain Troll - Evolution: The Troll loses their “Stolen Armor” and “Flail Swipe” features, then gains a +1 bonus to their Diffi culty. Additionally, they gain the “Double Swipe” feature and replace “Skull Flail” with the following standard attack: Claw Swipe: Very Close | 1d10+3 phy",Double Swipe,"Spend a Fear to move up to Close range and make two standard attacks against a target within Melee range. If both attacks succeed, combine the damage, and the target loses a Hope.",,,,,,
Octopus,1,Skulk,"An aquatic, soft-bodied mollusk that has eight sucker-bearing arms and a hard, beaklike jaw.","Crawl along the ocean fl oor, eat fi sh, squirt ink",12,3/None,2,3,−1,Beak,Melee,1d6 phy,"Dexterity +3, Water +3",Grapple,"Make an attack roll against a target within Close range. On a success, the target becomes Restrained and Vulnerable until they escape with a successful Strength Roll.",Squirt Ink,"Mark a Stress to have the Octopus squirt ink. On land, the ink covers the ground within Very Close range. Each creature who moves through that area must succeed on an Agility Reaction Roll or slip and fall, becoming Vulnerable until they exit the area. If this feature is used while the Octopus is underwater, it instead creates a cloud of darkness that fi lls an area within Very Close range and blocks line of sight.",,,,,,,,,,
Green Ooze,1,Skulk,A moving mound of translucent green slime.,"Camoufl age, consume and multiply, creep up,",8,5/10,5,2,+1,Ooze Appendage,Melee,1d6+1 mag,Camoufl age +3,Slow,"When you spotlight the Ooze and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the Ooze and they have a token on their stat block, clear the token and they can act.",Acidic Form,"When the Ooze makes a successful attack, the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.",Envelop,"Make a standard attack against a target within Melee range. On a success, the Ooze envelops them and the target must mark 2 Stress. The target must mark an additional Stress when they make an action roll. If the Ooze takes Severe damage, the target is freed.",Split,"When the Ooze has 3 or more HP marked, you can spend a Fear to split them into two Tiny Green Oozes (with no marked HP or Stress). Immediately spotlight both of them.",,,,,,
Tiny Green Ooze,1,Skulk,A small moving mound of translucent green slime.,"Camoufl age, creep up",14,4/None,2,1,−1,Ooze Appendage,Melee,1d4+1 mag,,Acidic Form,"When the Ooze makes a successful attack, the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP. Daggerheart SRD 105",,,,,,,,,,,,
Red Ooze,1,Skulk,A moving mound of translucent fl aming red slime.,"Camoufl age, consume and multiply, ignite,",10,6/11,5,3,+1,Ooze Appendage,Melee,1d8+3 mag,Camoufl age +3,Creeping Fire,The Ooze can only move within Very Close range as their normal movement. They light any fl ammable object they touch on fi re.,Ignite,"Make an attack against a target within Very Close range. On a success, the target takes 1d8 magic damage and is Ignited until they’re extinguished with a successful Finesse Roll (14). While Ignited, the target takes 1d4 magic damage when they make an action roll.",Split,"When the Ooze has 3 or more HP marked, you can spend a Fear to split them into two Tiny Red Oozes (with no marked HP or Stress). Immediately spotlight both of them.",,,,,,,,
