Name,Tier,Type,Description,Impulses,Difficulty,Potential Adversaries,Feature 1 Name,Feature 1 Text,Feature 1 Question,Feature 2 Name,Feature 2 Text,Feature 2 Question,Feature 3 Name,Feature 3 Text,Feature 3 Question,Feature 4 Name,Feature 4 Text,Feature 4 Question,Feature 5 Name,Feature 5 Text,Feature 5 Question,Feature 6 Name,Feature 6 Text,Feature 6 Question
Hold the Line,1,Event,The party must fend offmultiple waves of enemies long enough for an ally to complete an important objective.,"Crash waves of enemies upon the party’s shores, never let them breathe, target their charge",11,"Guards, Jagged Knives, Pirates, Skeletons, Zombies",Bodyguards - Passive,"The PCs must protect an NPC (their “Charge”) long enough for the Charge to complete a task, such as finishing a magical ritual or repairing a mechanical device. At the start of the scene, activate a Task Countdown with a value equal to the number of PCs in the scene. It ticks down when the PCs defeat a wave of adversaries. When it triggers, the Charge completes their task.","Who are the PCs protecting, and what is the Charge trying to do? Who wants to stop them? What will happen if the Charge isn’t able to complete their task?",“I Must Not Fail!” - Passive,"When the first wave of adversaries appears, place a Resolve Countdown next to the Charge with a value equal to the number of PCs in the scene. When an adversary makes an attack against the Charge, the attack automatically succeeds and ticks down the Resolve Countdown. When it triggers, the Charge either flees, dies, or becomes incapacitated. Why is this task so important to the Charge?",What has the power to break their resolve?,Swarming Multitudes - Passive,All adversaries gain the “Relentless (2)” feature: They can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,Where does these foes’ newfound power come from? Is there any way to cut them offfrom it?,Waves upon Waves - Reaction,"When there are no adversaries in the scene, summon a wave of adversaries at Far range from the Charge. Each wave comprises two Tier 1 Minions for each PC in the scene.",Where do these adversaries come from? Who leads them from the shadows?,,,,,,
Local Festival,1,Social,Commoners and nobles alike gather from the surrounding area for a weeklong celebration.,"Express local culture and history, forge new relationships, reinforce community",11,"Festival Security (Bladed Guard, Head Guard), Local Luminaries (Commoner, Merchant, Petty Noble), Sundry Ne’er-Do-Wells (Jagged Knife Bandit, Lackey)","Remember, Remember - Passive","This time of year marks an important anniversary or astronomical event, such as the founding of the town or the summer solstice. On a successful Knowledge Roll, a PC can answer one of the questions below (or two, if they critically succeed). On a failure, they answer one question, but you decide which part of their answer is inaccurate and gain a Fear. • The festival celebrates a crop or export that is critical to the economy here.",What is it? • Why didn’t the festival happen last year? • This festival is similar to another one held in a neighboring region. What makes them different? What are the locals celebrating? What is the festival famous for? How did the PCs first hear about it?,Political Machinations - Passive,"While everyone is gathered in one place, the locals take the opportunity to quash feuds, drum up new business, and navigate local politics. A PC can stick their nose in the goings-on by making a Presence Roll. On a success, they make a connection to a local luminary who can give them a job, share important information, or make useful introductions. On a failure, they must mark a Stress.",What new crisis is on everyone’s lips? Why can’t this community solve the problem on its own? What reward can they offer the PCs in exchange for their aid?,“Let the Games Begin!” - Action,"One of the festival’s signature events is a sporting competition or series of games. If one or more PCs throw their hat into the ring, introduce rival competitors for them to face offagainst. To claim victory, the PCs must complete a Progress Countdown (5) to win events or score points before their rivals complete a Consequence Countdown (5).",What skills or abilities does this competition test? What does the victor win? Why is failure not an option for the PCs or their rivals?,Legendary Local - Action,"The festival culminates in the arrival of a figure from local folklore who performs special duties for the local community, such as giving treats to children, heckling the gentry, or blessing next year’s crops. If the PCs show this figure the proper deference and respect, they gain an appropriate blessing, such as a cryptic prophecy or a magical trinket, and gain 1d4 Hope to distribute among the party. If they insult the figure, they take 1d6+2 magic damage as the figure curses them, and you gain a Fear.",Is this a singular entity or a mantle passed from person to person? What distinctive form do they possess? What is the source of their power to grant boons and banes?,,,,,,
Local Tavern,1,Social,A lively tavern that serves as the social hub for its town.,"Provide opportunities for adventurers, nurture community",10,"Guards (Bladed Guard, Head Guard), Mercenaries (Harrier, Sellsword, Spellblade, Weaponmaster), Merchant",What’s the Talk of the Town? - Passive,"A PC can ask the bartender, staff , or patrons about local events, rumors, and potential work with a Presence Roll. On a success, they can pick two of the below details to learn—or three if they critically succeed. On a failure, they can pick one and mark a Stress as the local carries on about something irrelevant. • A fascinating rumor with a connection to a PC’s background • A promising job for the party involving a nearby threat or situation • Local folklore that relates to something they’ve seen • Town gossip that hints at a community problem",Who has what kind of information? What gossip do the locals start spreading about the PCs?,Sing For Your Supper - Passive,"A PC can perform one time for the guests by making a Presence Roll. On a success, they earn 1d4 handfuls of gold (2d4 if they critically succeed). On a failure, they mark a Stress.",What piece do you perform? What does that piece mean to you? When’s the last time you performed it for a crowd?,Mysterious Stranger - Action,"Reveal a stranger concealing their identity, lurking in a shaded booth.",What do they want? What’s their impression of the PCs? What mannerisms or accessories do they have?,Someone Comes to Town - Action,Introduce a significant NPC who wants to hire the party for something or who relates to a PC’s background. Did they know the PCs were here?,What do they want in this town?,Bar Fight! - Action,"Spend a Fear to have a bar fight erupt in the tavern. When a PC tries to move through the tavern while the fight persists, they must succeed on an Agility or Presence Roll or take 1d6+2 physical damage from a wild swing or thrown object. A PC can try to activate this feature by succeeding on an action roll that would provoke tavern patrons.",Who started the fight? What will it take to stop it?,,,
Outpost Town,1,Social,"A small town on the outskirts of a nation or region, close to a dungeon, tombs, or other adventuring destinations.","Drive the desperate to certain doom, profit offof ragged hope",12,"Jagged Knife Bandits (Hexer, Kneebreaker, Lackey, Lieutenant, Shadow, Sniper), Masked Thief, Merchant",Rumors Abound - Passive,Gossip is the fastest-traveling currency in the realm. A PC can inquire about major events by making a Presence Roll.,"What they learn depends on the outcome of their roll, based on the following criteria: • Critical Success: Learn about two major events. The PC can ask one follow-up question about one of the rumors and get a truthful (if not always complete) answer. • Success with Hope: Learn about two events, at least one of which is relevant to the character’s background. • Success with Fear: Learn an alarming rumor related to the character’s background. • Any Failure: The locals respond poorly to their inquiries. The PC must mark a Stress to learn one relevant rumor. What news do the PCs have that they could pass along to curious travelers? What do the locals think about these events?",Society of the Broken Compass - Passive,"An adventuring society maintains a chapterhouse here, where heroes trade boasts and rumors, drink to their imagined successes, and scheme to undermine their rivals.","What boasts do the adventurers here make, and which do you think are true?",Rival Party - Passive,"Another adventuring party is here, seeking the same treasure or leads as the PCs.",Which PC has a connection to one of the rival party members? Do they approach the PC first or do they wait for the PC to move?,It’d Be a Shame If Something Happened to Your Store - Action,The PCs witness as agents of a local crime boss shake down a general goods store.,What trouble does it cause if the PCs intervene?,"Wrong Place, Wrong Time - Reaction","At night, or when the party is alone in a back alley, you can spend a Fear to introduce a group of thieves who try to rob them. The thieves appear at Close range of a chosen PC and include a Jagged Knife Kneebreaker, as many Lackeys as there are PCs, and a Lieutenant. For a larger party, add a Hexer or Sniper.",What details show the party that these people are desperate former adventurers?,,,
Raging River,1,Traversal,"A swift-moving river without a bridge crossing, deep enough to sweep away most people.","Bar crossing, carry away the unready, divide the land",10,"Beasts (Bear, Glass Snake), Jagged Knife Bandits (Hexer, Kneebreaker, Lackey, Lieutenant, Shadow, Sniper)",Dangerous Crossing - Passive,Crossing the river requires the party to complete a Progress Countdown (4). A PC who rolls a failure with Fear is immediately targeted by the “Undertow” action without requiring a Fear to be spent on the feature. Have any of the PCs forded rivers like this before? Are any of them afraid of drowning?,,Undertow - Action,"Spend a Fear to catch a PC in the undertow. They must make an Agility Reaction Roll. On a failure, they take 1d6+1 physical damage and are moved a Close distance down the river, becoming Vulnerable until they get out of the river. On a success, they must mark a Stress.",What trinkets and baubles lie along the bottom of the riverbed? Do predators swim these rivers?,Patient Hunter - Action,Spend a Fear to summon a Glass Snake within Close range of a chosen PC. The Snake appears in or near the river and immediately takes the spotlight to use their “Spinning Serpent” action.,What treasures does the beast have in their burrow? What travelers have already fallen victim to this predator?,,,,,,,,,
Raiding Party,1,Event,A pirate ship disgorges its crew into a port town or shoreline village to loot and plunder.,"Light it on fire, overwhelm with speed and numbers, take everything that isn’t nailed down",11,"Ship’s Crew (Pirate Captain, Pirate Raiders, Pirate Tough)",Rally the Locals - Passive,"Progress Countdown (5). When the pirates first appear, activate the countdown. It ticks down when a PC succeeds on an action roll to stem the chaos and destruction of the pirate raid. When it triggers, the locals become inspired by the party’s actions and join the fight against the pirates. Each PC gains a d6 Morale Die, which they can spend to add to an action, reaction, or damage roll.",How do the pirates threaten or endanger the town besides attacking its inhabitants? What defenses can the PCs take advantage of?,Parley - Passive,"On a successful Knowledge Roll, a PC knows enough pirate law to demand a parley with the Pirate Captain. Once the parley is issued, the captain pauses the combat to allow a PC to sue for peace or negotiate the terms of surrender with a Presence Roll. Why do these pirates respect this captain enough to follow them?",What do they care about more than ill-gotten booty?,“Fire the Cannons!” - Action,"Spend up to 3 Fear to have the pirate ship fire its cannons into the combat. For each Fear spent, choose a point anywhere on the battlefield. Each PC within Close range of one or more of those points must make an Agility Reaction Roll. Targets who fail take 1d8+3 physical damage. Targets who succeed must mark a Stress or take half damage.",What collateral damage do these cannonballs cause? Whose lives do they wantonly endanger?,Take Captives - Reaction,"When a number of pirates equal to the number of PCs in the scene are defeated, roll a d6. On a result of 5 or 6, the pirates change tactics, capturing locals and retreating to the ship so they can ransom the captives later. Activate a Consequence Countdown (4). It ticks down when a PC makes an action roll. When it triggers, the pirates sail away with their victims.","Who do the pirates deem the best captives, and why? What do they want in exchange for the captives’ return?",,,,,,
Beach Day,2,Social,heir adventure for some rest and relaxation in a seaside settlement.,"Conjure images of sand and surf, give them a breather, prepare them for the conflict ahead",14,None,R&R - Passive,"The party finds themselves in a location where the concerns and conflicts of the outside world melt away. When the PCs rest here, they gain an additional downtime move, the GM doesn’t gain Fear, and no long-term countdowns advance.",What’s so relaxing about this place? Does it remind you of somewhere you’ve been before?,“Our Story So Far…” - Passive,"Once per scene when a PC recounts a memorable moment from the campaign in conversation with another PC, they both gain a Hope.","What sounds, smells, or sensations does the memory conjure in your mind? How did that moment permanently change you—or your opinion of your companion?",Local Trouble - Action,"Spend a Fear to interrupt a PC’s respite with a minor complication, such as a gang of surly beach bums, an overly exuberant fan, or a really bad sunburn. The PC must gracefully resolve the situation or mark a Stress from the resulting embarrassment or frustration. Why does this PC draw their attention?",What do the locals care about more than these newly arrived adventurers?,Fashion Show - Reaction,"When the party prepares for their first day at the beach, have each player describe how their PC changes their attire to be more appropriate for the environment. The GM gives the PC with the freshest look a d6 Fresh Die that can be spent to add to any action or reaction roll.",What’s the fashion in this area? Where do the PCs source their new beach-themed articles and accessories?,,,,,,
Cult Ritual,2,Event,len cult assembles around a sigil of the defeated gods and a bonfire that burns a sickly shade of green.,"Profane the land, unite the Mortal Realm with the Circles Below",14,"Cult of the Fallen (Cult Adept, Cult Fang, Cult Initiate, Secret-Keeper)",Desecrated Ground - Passive,"Cultists dedicated this place to the Fallen Gods, and their foul influence seeps into it. Reduce the PCs’ Hope Die to a d10 while in this environment. The desecration can be removed with a Progress Countdown (6).",How do the PCs first notice that something is wrong about this place? What fears resurface while hope is kept at bay?,Blasphemous Might - Action,"A portion of the ritual’s power is diverted into a cult member to fight offinterlopers. Choose one adversary to become Imbued with terrible magic until the scene ends or they’re defeated. An Imbued adversary immediately takes the spotlight and gains one of the following benefits, or all three if you spend a Fear: • They gain advantage on all attacks. • They deal an extra 1d10 damage on a successful attack. • They gain the following feature: Relentless (2) - Passive. This adversary can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.",How does the enemy change in appearance? What fears do their blows bring to the surface?,The Summoning - Reaction,"Countdown (6). When the PCs enter the scene or the cult begins the ritual to summon a demon, activate the countdown. Designate one adversary to lead the ritual. The countdown ticks down when a PC rolls with Fear. When it triggers, summon a Minor Demon within Very Close range of the ritual’s leader. If the leader is defeated, the countdown ends with no effect as the ritual fails.",What will the cult do with this leashed demon if they succeed? What will they try to summon next?,Complete the Ritual - Reaction,"If the ritual’s leader is targeted by an attack or spell, an ally within Very Close range of them can mark a Stress to be targeted by that attack or spell instead.",What does it feel like to see such devotion turned to the pursuit of fear and domination?,,,,,,
Deadly Dungeon,2,Exploration,"A dimly lit subterranean network of tunnels and chambers filled with monsters, traps, and treasure.","Devour the party’s resources, spring the trap, tempt them with treasure, throw monsters at them, turn them around",14,"Dungeon Denizens (Gobstalker, Green Ooze, Ravenous Mockery, Rust Eater), Rival Adventurers (Giant Brawler, Masked Thief, War Wizard)",Twists and Turns - Passive,"Countdown (6). When the party enters the dungeon, activate the countdown. It ticks down when a PC succeeds on an action roll to navigate the passages. When it triggers, the PCs reach the deepest, darkest, best-defended part of the dungeon.",What reward lies at the heart of the maze? Who built this labyrinth to protect it?,Deep Pockets - Passive,"Once per rest, the PCs can find a cache of treasure inside the dungeon, either on the corpses of previous delvers or behind hidden doors. On a successful roll to navigate the dungeon, a PC can spend up to 5 Hope to roll that number of d6s. Each result rolled gains the party the following loot or equipment: 1. Loose gemstones, jewelry, baubles, or coins equal to a handful of gold 2. A common item or consumable 3. An uncommon item or consumable 4. A rare item or consumable 5. A legendary item or consumable 6. A weapon or an armor from the party’s tier",What were the previous owners like? How do the PCs plan to get their purloined items out of the dungeon?,Wandering Monster - Reaction,"When the party enters a new area of the dungeon, you can spend a Fear to summon 1d4 adversaries at or below the party’s tier within Far range and roll a d6. On a result of 1 or 2, the PCs notice warning signs and can prepare for the encounter; the first PC to make an action roll gains advantage on it. On a result of 3 or 4, the combat occurs as usual. On a result of 5 or 6, the adversaries get the drop on the PCs and immediately take the spotlight, and you gain a Fear.",How did these creatures come to be here? What were they doing when the PCs encountered them?,Booby Traps - Reaction,"When a PC fails an action roll to navigate the dungeon, activate a trap or hazard such as a spike pit, gauntlet of swinging blades, or locked room slowly filling with water. The party must succeed on a group action roll to deactivate, disarm, or escape it. On a failure, each PC involved in the group action roll takes 2d6+3 physical or magic damage (GM’s choice).",What kinds of traps and hazards fill this dungeon? What does their construction tell you about whoever designed them? Have any of them been triggered prior to the party’s arrival?,,,,,,
Duel,2,Event,An adversary challenges one of the PCs to single combat as the rest of the party aids them from the sidelines.,"Focus on one PC, goad them into overcommitting, inflict an embarrassing defeat, sideline the rest of the party",Special (see “Relative Strength”),Any,“I Demand Satisfaction.” - Passive,"When an adversary challenges a PC to one-on-one combat, the PC chooses whether to accept. If they reject the challenge, they must mark a Stress, and you gain a Fear. If a PC accepts an adversary’s challenge, activate a Progress Countdown (6) and a Consequence Countdown (4). If the Progress Countdown triggers first, the PC wins the Duel and gains a favor or concession from their adversary. If the Consequence Countdown triggers first, the adversary wins the Duel and claims a favor or concession from the PC. Why was this PC chosen?",What do they expect to win if they prove victorious?,Relative Strength - Passive,The Diffi culty of this environment equals that of the adversary who issued the challenge.,Who issues the challenge? What are they fighting for?,Rules of Engagement - Passive,"During the Duel, the challenged PC is the only one who can make action rolls. Other PCs can only aid the challenged PC indirectly: They can Help an Ally, initiate group action rolls or Tag Team Rolls, and use any of their features that don’t directly affect the challenging adversary.",Where does this conflict take place? How does the environment offer the rest of the party an opportunity to aid their ally without interfering?,Dirty Tricks - Action,Spend a Fear to have the challenging adversary or one of their allies cheat. A PC can notice their underhanded action with a successful Instinct Reaction Roll and respond in kind.,"What’s off -limits in this conflict? How does the adversary’s ally bend the rules without breaking them, or break the rules without getting caught? How can the PCs rebalance the scales?",,,,,,
